click_r,release_t,title,content,transfer_u,expect_t,reply_c,satisfy_d,evaluate_t,evaluate_c
856,2009/12/15,关于摩托驾驶证的建议,"厅长你好!随着经济的发展,摩托车已经成为了很多家庭的主要的出行工具.特别是在农村.所以这个问题看起来很小,但是影响面很大,希望你能给予关注一下.全省的摩托驾驶证的标准好像是280左右,但是在莆田要570左右.而且都是流于形式,不是真正的管理,只要你有交钱,肯定保证你可以拿到驾照的.一个是现在的摩托驾驶确实也比较容易,大部分人都能骑使驾驽.我要反映的问题是:第一为什么莆田的驾照要收取那么高的费用,高出其他地市一半的费用.第二为什么异地不能报考取得驾驶证,愿意交钱,并能很好的驾驶摩托车,为什么一定要回原户籍地报考呢?太麻烦了吧.是不是设计到利润的问题呢?为了那么多的摩托用户,请厅长调研一下.给予人民更多的方便和优惠!谢谢",莆田市公安局,2009/12/11,小王*志：您好！您反映关于摩托驾驶证的建议的来邮已收悉，现答复如下：1．根据省财政厅、省物价委闽价（2009）82号关于“重新核定机动车安全技术检验费和机动车驾驶员考试费等收费标准有关问题的通知”的文件精神，摩托车驾驶人考试费最高收费标准为150元，属行政事业性收费，由交警部门收取。培训费由承训单位根据国家有权机关颁布的教学大纲组织培训所需的培训成本自行确定，实行市场调节价管理（未规定收费标准）。至于其他培训费由培训班自行收取，交警部门无管辖权（培训社会化后，培训机构的管理由市交通局负责）。2．根据中华人民共和国公安部令第91号，自2007年4月1日起，使用修订后的《机动车驾驶证申领和使用规定》，规定中第十三条明确规定：在暂住地（异地）初次申领机动车驾驶证的，可以申请准驾车型为小型汽车、小型自动档车、低速载货汽车、三轮汽车的机动车驾驶证。因此异地不能申领摩托车驾驶证。感谢您对公安工作的支持!,一般,2009-19-15 05:19:33,"疑问:1为什么会有这么的规定.现在流动人口也是很厉害,都说要方便于民,为了考一个驾驶证要回家好几趟才能办成,需要更多的精力和物力.何来的于民方便呢?想不明白.期待答案.2.明摆的社会办摩托驾驶证就是赚钱.根本就没有培训.只是报名一下,到时候去考试的时候都是有人帮你替考通过.路考也根本不要培训都可以通过的.去调查一下,现在的那些摩托培训班,有几个在实际培训呢?汽车培训是应该的.摩托车的培训就是在收钱."
971,2009/12/18,第二胎户口问题,我们夫妻是农村户口，#7年1月4号生育第一胎女孩，#9年7月8号间隔时间没到生育第二胎男孩，出生医学证明、结婚证、结扎证明证件齐全，已交纳5###元社会抚养费在村里，为何还不能落户，是否务必缴清16###多社会抚养费才能落户，可是真的没钱交罚款怎么办,户政科,2009/12/17,林苏*同志：你好！你所咨询“第二胎户口”问题的来邮已收悉，现答复如下：只要你带齐孩子的《出生医学证明》、夫妻双方的《居民身份证》、《居民户口簿》、《结婚证》就可直接到所在地派出所户籍窗口为你的孩子办理落户。公安机关办理户口落户时，除交纳户口证件相关工本费外，不需要交纳其他费用。你所提到的社会抚养费问题不属于公安部门的业务范畴，请向计生部门咨询。感谢你对公安工作的支持！,满意,2011-48-01 05:48:35,"SD##############gn,[url=http://sz########jq.com/]sz########jq[/url],[link=http://xp########cd.com/]xp########cd[/link],http://dx########tc.com/"
483,2009/12/21,严惩福州股票投资公司大骗子，严惩福州仓山人陈民航大骗子,"本人被天锐投资有限公司骗取服务费3####（叁万捌仟捌百元整），至今电话全部关机，有知情者请与我联系，也再次警告散户不要上当受骗。2##9年#月份他们一直以短信的方式给我发消息，每天盘后发消息来说什么股票，买入价多少，明天的目标价多少，事情确实如他们所说，第二天股票就按他们说的走势走。几乎天天发消息过来，先是孟小姐（156#6911#92）联系我们，之后有她经理再联系我们，经理陈民航（156#691##65）再一次次的与我们取的联系，说只要付服务费就可以跟着他们操作，服务费为壹万零捌百元整（一个季度）。我们处于防范心理，要就试用下，他答应可以先交一半的钱，于是我在9月15号通过中国建设银行网上银行付款到一个韦锦芳(卡号：6227##1#2325#11#525）的账号中5###.##，于是有一个姓陆的老师（132#591#779）带领我们买股票，经过一个星期后，我们买的股票并没有赚钱，与他们交涉后，他们称我们的钱没有交齐为由，所以没有推荐我们好的股票，在9月21号一定要叫我们交完余下的钱，我就通过建行给韦锦芳打了5###元人民币。在接下去的几天，股票还是一直处于亏损的状态，我再次跟姓陈的交涉，他说我们的钱付的不够多，以前他们发的广告股票都是有一个王总监带为操作的，他的操作手法是一个星期炒作3只左右，基本都是今天进，明天出。保底收益3#%以上的。一般都是第二天涨停。我怀疑他的真实性，说让他把每天的广告股票发给我，我观察一段时间。于是在9月23日下午4点17分发消息给我，推荐创业环保（6###74），建仓价：5.7#元，目标价：6.7#元。9月24号最高到6.##，冲激涨停。在这样的情形下，我也选择了加入，于是在9月25日又通过中国建设银行网上银行付款给韦锦芳人民币2####元。这样就交完3####的服务费，由他们王总监来带领我们操作，当天他推荐鼎立股份（6##614），买入价格：#.1#，第二天跌停，第三天跌#个多点，我跟王打电话，他们说在洗牌了，等过完国庆后肯定能涨，目标价格是9.1#，肯定让我出来，可国庆后鼎立股票并没有按他们说的走，我又打电话给他们，他们说等鼎立公司开完会后会有几个涨停板，就这样一直拖着，由于我深套的厉害也没有丝毫的办法，只有等待，到1#月19号我再也不相信他们的鬼话了，所以我跟他们姓王的和姓陈的交涉，要求退还全部资金，不想合作。他们先是以换老师，换股票等种种理由拖欠，我表明必须要回资金是，他们又称需要申请老板签字，所以在1#月23号的时候答应我1#月26/27号的时候肯定把钱退回来，但在26/27号时并没有退款，我在1#月2#号再次与他们交涉的时候，上午还有人接电话，下午就都关机了。实属诈骗行为，希望小散们千万不要在上当受骗，如果你们有谁知道这个公司的，也望能提供线索，具体涉及到的人员如下：孟小姐（156#6911#92）最初联系人陈民航（156#691##65）具体业务联系人客户经理（地址：福建省福州市仓山区首山路碧海园B栋2#5室）陆老师，操盘老师，电话（132#591#779）王总监，操盘老师，电话（156#6919969）财务部小张,电话：#591-3##75644手机：156#691193#希望有同样遭遇的散户们，大家集合力量，找到他们，为维护自己的利益而斗争！",福州市公安局,2009/12/21,您好，您的“严惩福州股票投资公司大骗子，严惩福州仓山人陈民航大骗子”已收悉，现答复如下：根据您提供的情况，我局已向省市两级工商管理部门了解，未发现“福州天锐投资公司”的工商登记记录。同时已对您提供的号码和银行帐户进行调查，以从其中发现其它受害人的信息和更多的线索。您提供的情况我局已作为案件线索进行受理，还在进一步的调查中，如发现其有涉及经济犯罪活动将依法予以查处。同时建议您来我局经侦支队报案，提供相关的情况。地址：软件园铜盘大道27号，电话87986621,,,
123,2009/12/24,骗子,我前几天收到汇金财经的电话，问我股票炒的怎么样，以后每天下午3点钟以后都给我介绍一支股票，如大橡塑、金宇车城、金诺太阳、兰太实业等，这些股票第二天一开盘就涨停，让我好是羡慕。汇金的人告诉我，只要交68##元入会员，就可以给我这样的股票。于是我在1#月21日，给他们汇了钱，建设银行：62#######393#####5#黄爱梅。下午就给我介绍一支股票：华远地产。22日我本以为这支股票开盘就会涨停，但是直到收市，只涨了#.8，还不如我卖掉的中远航运。让我非常生气。我打电话给他们，他们讲：我只是普通会员，只介绍给我普通股票。至于那些涨停的股票是机构会员的。让我继续等消息再卖，保证我会赚钱的，但没有时间限制。我不知道我是否上当了。另外我在新浪上也发现了一个跟我同样上当的人发的帖子。福州汇金，骗子股票投资公司以我被骗的事实，告诫大家，千万不要听信什么股票投资公司！我向电视打的股票广告，发过咨询短信，以后经常接到荐股的电话。在我炒股不好的情况下，抱着试试看的心态，我开始关注她（福州汇金财经资讯有限公司的张静，手机号：13######87-9）提供的股票。两天下来，涨幅都不错。于是，我心动了。张静让我交一个季度98##元（还可以优惠多给一个月），加入她公司的钻石会员。经过商量，她说征得公司同意，让我先交48#1元，等赚钱了，再补上余款。于是，我汇了款（农行福州市湖东支行华林分理处：帐号62######62-29#####15收款人:黄爱梅）。结果，黄小姐（公司专门负责推荐股票的，手机号：13######9#-1）提供的股票，根本不行，一进去就跌。我问张静：为什么会这样？她说我的款没有交齐，不能享有公司推荐的股票。无奈，我只好又汇款5###元。但是，给我的股票，还不是她们网站（中国汇金财经网）上推荐的股票。我又问她，她说那是一个季度98###元，才能得到的票。不交，只有炒她们给我的普通会员的股了（从钻石会员又变成普通会员了）。我打电话给她的公司（#591-38####4#），得到的解释也一样。自#9年8月28日以来，我先后买了黄小姐提供的三只股票。两个月下来，让我赔了十万多。9月3#日，张静来电说我赔了这么多，经过公司特批，让我交5###元（优惠了5###元）升级为高级会员，就可以加入她公司炒新股的计划。若是再赔了，可以凭交割单双倍赔偿我的损失。赔都赔了这么多，再赌一把，我又汇去5###元。后来，她又来电话，说是等赚了，还要补交5###元，才能成为真正的高级会员。我后悔因自己的贪婪，上了骗子的当。股民们，以我为戒，不要再上当受骗了。2##9-1#-17我想像我这样贪图便宜的人，可能上当的还大有人在，希望你们能彻底将这些骗子绳之以法，不让更多的人不再受骗。汇金公司网址：http://www.vi###18.com/办公电话：#591-38####4#传真：#591-87####51公司地址：福建省福州市鼓楼区五四路环球广场18层邮编：35###1,福州市公安局,2009/12/23,您好，接到您的诉求件后，我局经侦支队即开展相关调查工作，答复如下：一、经侦支队已到省、市工商管理部门了解，未发现“福州汇金财经资讯有限公司”的工商登记记录。二、根据信访件提供的相关号码和银行帐户进行查询，以从中发现其他受害人信息和更多的线索。您所反映的情况目前我局经侦支队已作为案件线索受理，还在进一步调查中，如发现其有涉及经济犯罪活动将依法查处。同时建议您来我局经侦支队报案，提供相关材料，便于查清情况。经侦支队地址，软件园铜盘大道27号，电话：87986621,,,
391,2009/12/24,待遇,漳州公安局1500元奥运安保费至今未发。,漳州市公安局,2009/12/23,人民公安同志：您好！您反映的奥运安保费的来邮已收悉，现答复如下：根据省人民政府办公厅函复精神，同意各级政府对参加2008年奥运安保工作的本级公安、安全等部门发放一次性奖金，奖励经费由各级政府负担。我局已于20009年3月24日向市政府报告，至今未批复。感谢您对公安工作的支持！（漳州市公安局回复）,,,
126,2009/12/30,公专培训少扰民,公安专科培训每期都要到基层搞所谓的“考察”，都是游山玩水。百多人招摇过市，把基层都吃穷了。领导要管一管。,警察学院,2009/12/28,杨明*志：您好！根据您反映的“公安专科培训每期都要到基层搞所谓的‘考察’，都是游山玩水。百多人招摇过市，把基层都吃穷了”的情况，我们高度重视，并组织人员进行了详细调查了解。根据我们调查和核实，近两年，除两期业务培训班由业务主管单位组织到基层现场观摩（当天返回）外，其他期的培训班都没有安排到基层单位进行考察，福建警察学院培训处（即原公安专培训处）也没有组织过此类活动。我们非常感谢您积极向我们反映情况，如果您以后有发现此类情况，请及时、具体的向我们进行反映，感谢您对公安工作的支持！,,,
190,2009/12/30,经常发生的案件，不闻不问，太不负责任了,厅长您好！因漳州公安局局长信箱不能写信，不得已才写给您，我是漳州龙海人，在厦门鼓浪屿开店，，于2009年11月17到角美参加同学集会，下午4点多乘坐角美-石塘专线班车到石塘，在车上西装内口袋被割开，1200元人民币被盗，直到快下车时才发现，刚好手机没电，没及时报警，因没钱坐车回厦门，拖到晚上9点多才回到家，到家后于##点18分打059##10报警，一个女的接的电话，等我把情况说好后，她让我打角美110，##点19分我就按她给我的电话打0596-65##10反映情况，也是一个女的接电话，等我把情况说好后，她又叫我找角美分局（或者是角美派出所），后来我就按她给我的电话打0596-677##10，一个男的接的电话，等我把情况说好后，他跟我说，现在这边没民警，我说怎么会没民警呢，他说出去了，你再过1个小时后再打来吧，我说你等等叫民警打给我好了，他说好，可是我等到11点多，他那边也没打电话过来，今天一整天也没打过来，我今天在网上一查才知道角美-石塘这条专线班车经常出现割包偷钱，福建论坛上面也有报道，包括角美110和角美分局接我电话那两个人自己也说是经常接过这种报警电话，我觉的既然这种案件经常发生，农博会，花博会今天又在漳州举办，很多客人会走这条路线到厦门，角美分局应该高度重视此类案件，并全力以与侦破，确保人民生命财产安全，严厉打击这种犯罪行为，或者加于巡罗和提醒广大乘客，不能这么冷漠，这么无所谓，这么不负责任，虽然这不是很大的案件，但我希望厅长能在百忙之中给我一个满意的答复。谢谢您了！,漳州市公安局,2009/11/23,苏泉*同志：您好！您反映2009年11月17日在角美-石塘专线班车上被割包盗走1200元人民币，报警后无人处理的来邮已收悉，现答复如下：您于2009年11月17日，向龙海市公安局角美派出所报案，接警人员认为您当时人在厦门鼓浪屿家中电话报警，且离案发时间间隔较长，当班人员告知您有时间到角美派出所具体反映情况并做相关笔录。龙海市公安局角美派出所接您的投诉后立即进行了整改，对当班人员进行了批评教育，目前该所加大对该地区的巡逻防控力度并安排侦查人员跟车（公交车）进行侦查。目前该条专线治安状况好转，感谢您对公安工作的支持！,,,
242,2009/11/30,谁阻碍了我们高考？,"尊敬的厅长：我是龙海市的一名高三生，就读于龙海一中，在今年10月下旬到龙海市榜山镇公安局办理二代身份证，因为12月1号要进行高考报考（报考需要第二代省份证），我向办理人员询问是否可以进行加急办理业务，当时的工作人员向我明确表示“不可以，最快要一个多月.""当时我就申请办理不加急的省份证，要下个月才拿到。但是我的同学是龙海石码的，他们可以办加急，现在他们的第二代省份证已经拿到手了，而我却没有。现在我们就要报考了，可是没有第二代省份证的学生是不可以报考的，我现在没有省份证就不可以报考了。今天我去向办理人员申请加急，但是她们说我已经申请了办理省份证就不可以加急了，只能到一个月才可以拿到我的省份证。我不知道该怎么办！高考对于每个人来说是很重要的，难道您不这样认为吗？并且我相信政府是为人民的，您会让我们这些学生不能参加高考吗？我希望您能替我们着想下，我也相信您会给我们一个号的交代的，我同时也希望您能够认真处理我们学生的事情。因为我们这些学生是信任政府的。一位为高考烦恼的学生2009年11月20日",漳州市公安局,2009/11/24,陈盈如同学：您好！您反映的二代证办理问题的来邮已收悉，现答复如下：为确保高考考生能在规定的时间内凭二代证顺利报名，漳州市公安机关专门开通制证类型为“特殊人群普通证件”作为上报高考考生制作二代证数据的绿色通道，高考考生凭《居民户口簿》、《学生证》可通过该通道快捷办理二代证。你若已办理二代证并要求尽快拿到二代证，请及时与漳州市公安局户政处（联系电话：2622269）联系，帮你协调省厅制证中心尽快为你制证。感谢您对公安工作的支持！,,,
443,2009/11/30,改名,尊敬的领导；本人是福建省南平建阳市的人，一直想把名字改了，在老家的时候有去过建阳市公安局问过，他们说不能改，我也没做过坏事能不能改啊我之前有给省长信箱写过信他们交办单交到了建阳市公安局他们又说不能改姓名变更公民申请变更姓名，需持下列证明材料1、申请人的书面申请（16岁以下的，由其监护人提出申请）；2、父母离异变更16岁以下人员姓氏的，需提供离婚证明手续，并经父、母双方写出协议书签字同意。3、户口簿、居民身份证；4、属机关、团体、学校、企事业单位工作人员的，须提交单位、学校人事部门准予变更证明，属在校学生的，应提交所在学校准予变更证明，无单位的需由户口所在地居（村）委会出具证明，然后由户籍所在地责任区民警在证明上签署意见，派出所主管所长同意后打印变更更正表（16岁以下人员变更名字，不需打印变更更正表，由主管所长审批后直接在派出所户籍室办理）报分局户办大厅审核批准。更正出生日期公民要求更正出生日期，需持下列证明材料1、申请人的书面申请（16岁以下的，由监护人提出申请）2、户口簿、居民身份证；3、《出生证》或出生日期差错的原因和原始凭证；4、属机关、团体、学校、企事业单位等单位职工的，提交所在单位人事部门准予变更证明（属于户籍登记工作人员疏忽或差错的，不需单位证明）。5、打印变更更正申请表后交主管所长批准后报分局主管局长审批成年人改名有三个条件：第一是本人要表达改名的意愿，第二是理由要充分，第三是本人要承诺改名后引起的民事和法律责任均由自己承担，且一生只能更改一次。16周岁以后，须由本人提出书面申请并持有效证明材料报公安机关审批。依法被剥夺政治权利和正受刑事处罚和劳动教养者，不得变更姓名。公民依法变更姓名后，原姓名作为“曾用名”备查。也就是说你要写一个改名申请给户口所在地的派出所，通过盖章后到所在地公安局户籍股登记，当然要带户口簿。投档案后大约15或7个工作日后可以正式更改，户口簿里面会写你曾用名是什么，现名是什么。毕业证什么的需要用到证明你的身份的时候须带上户口簿配合。具体的程序是：想改名者到户籍所在地的公安分局户证窗口，领取申请表格，并提供所需资料，经审批后即可改名。另外要提醒的是，改名一定要慎重，因为改名后会涉及到自己的银行卡、社保、医保以及产权证等等一系列问题，若处理不好，也会产生许多麻烦。-----------------------------------------------------------------------------相关法律规定：《中华人民共和国宪法》第三十八条中华人民共和国公民的人格尊严不受侵犯。禁止用任何方法对公民进行侮辱、诽谤和诬告陷害。[人格尊严是指与人身有密切联系的名誉、姓名、肖像权不容侵犯的权利。]《中华人民共和国民法通则》第九十九条公民享有姓名权，有权决定、使用和依照规定改变自己的姓名，禁止他人干涉、盗用、假冒。法人、个体工商户、个人合伙享有名称权。企业法人、个体工商户、个人合伙有权使用、依法转让自己的名称。《中华人民共和国户口登记条例》第十八条公民变更姓名，依照下列规定办理：一、未满十八周岁的人需要变更姓名的时候，由本人或者父母、收养人向户口登记机关申请变更登记；二、十八周岁以上的人需要变更姓名的时候，由本人向户口登记机关申请变更登记。所以，申请修改姓名被拒绝，或者限制姓名所引用的文字，从法理上来说，都是侵犯了公民的姓名权，公民可以通过民事诉讼或行政诉讼来维护自己合法的姓名权。对18岁以上公民更改姓名“从严掌握”，仅仅是公安机关内部规定，无可操作性的具体标准，且与《民法通则》有关规定有抵触之嫌，应无法律约束力。若一味拒绝为公民更改姓名，公民因公安机关行政不作为打起官司时，若公安机关不能举出公民更改姓名违反法律规定的证据，公安机关就可能承担败诉的后果。按照《民法通则》的规定精神，公民申请更改姓名不应附加任何条件。公安机关在制定行政规章时，不能仅考虑公共行政权力，还要考虑整个法律体系的一致性。若认为公民改名对户籍管理、对公民违法犯罪信息管理可能造成麻烦和不便，从而限制公民行使更改姓名的私权利，这样做是不对的。公民的姓名更改后，公安机关在各种档案信息中对公民的曾用名如实加以记载即可，公民以原名字存款、炒股、缴纳、领取各种保险费保险金，缔结合同后需要以新名字继续行使权利履行义务，只需到公安机关开具名字变化的证明即可。公民改名字应该不会对户籍管理和治安管理带来负面影响。,南平市公安局,2009/11/30,谢小*同志：您好！您反映改名的来邮已收悉，现答复如下：根据户口管理有关规定：1、未满18周岁的人申请变更姓名的，由其父母或其他监护人向户口所在地公安派出所提出书面申请，但已满10周岁未满18周岁的，应当征得其本人的同意；2、对于夫妻离婚后需要变更其未成年子女姓名的，须由双方共同协商提出书面申请，由亲生父母双方持居民身份证同时到户口所在地公安派出所办理。对因一方向公安机关隐瞒离婚事实，而取得子女姓名变更的，若另一方要求恢复其子女姓名而离婚双方协商不一致的，公安机关应予以恢复原姓名。3、18周岁以上的公民申请变更姓名的，应由本人持居民身份证、户口簿等有关证件，向户口所在地公安派出所提出书面申请，报市、县公安机关核准后，派出所办理办理变更姓名手续。同时，已申领居民身份证的人需办理换领手续。4、16周岁以上公民变更姓名应出具无刑事犯罪记录证明书。5、已满18周岁的公民申请办理姓名变更登记被核准的，应在接到批准通知之后7日内，在指定地市级以上的报刊上发布姓名变更公告，并于30日后到派出所办理姓名变更登记手续。6、除学龄前变更姓名外，公民申请姓名变更，只能办理一次。如确需“改名”请对照上述要求提供材料，到户口所在地派出所办理姓名变更。,很满意,2009-33-12 05:33:15,oj##uT
279,2009/12/1,'黑户口”如何落户,厅长，您好！我叫潘花治生于1963年5月13日南安市乐丰镇炉星村3组在1982年嫁往泉州市洛江区罗溪镇前溪村下石，由于那时没有办理结婚证，户口没有迁移出来，被南安市公安局给注销了。成了”黑户口“，没有户口，办不了身份证，带来了诸多的不便，也无法办省新型农村医疗险。我无意中看到了省《关于解决我省历年出生人口未落户问题的意见》，我在1月份去罗溪镇派出所申请落户，按罗溪派出所的要求上交了有关的证明材料。罗溪派出所要我等消息。9月份罗溪派出所给我打电话，说要上交一份原来在南安市乐丰镇的户籍档案材料。我去乐丰镇派出所，户籍民警翻遍了所有的档案，只找到了我1982年的户口档案，1993年和之后的我的户口档案全都没有。我把我1982年的户口档案（盖了乐丰派出所的户口印）交到了罗溪派出所，户籍民警说我的户口是在南安注销的，要到南安市乐丰镇办理，会提供乐丰镇派出所需要的证明材料。这我就奇怪了，我在罗溪镇申请落户，上交了所有的证明材料，他们让我等消息，还让我提供我的户籍材料，我提供了户籍证明材料，他们却这样对我说。请问厅长，我的这种情况如何办理落户，在哪里办理。,泉州市公安局,2009/11/2,"潘花治你好,接来信后,我局认真进行调查,现答复如下:泉州市公安局洛江分局户政科、罗溪派出所经与南安市乐峰派出所经核实：1、潘花治与黄土生无办理结婚相关证件；2、经查公安信息网上没有潘花治的户口信息；3、南安市乐峰派出所出具的潘花治户籍底档内姓名为潘花治，但你到罗溪派出所申请落户的姓名为黄花治，原姓名与申请姓名不符，故不能办理。综上所述，根据现行网上户口迁移政策，建议你先到其原户籍所在地南安市乐峰派出所进行网上户口信息补录，后按事实婚姻（需乡镇民政所证明材料），到洛江分局罗溪派出所办理户口迁移手续。感谢你对公安事业的支持!",,,
288,2009/12/2,我已家破人亡，恳求警方能够早日将平和毒枭赖炳洋捉拿归案,尊敬的厅长：您好！很感谢您从百忙之中抽空来关心老百姓！！我爸爸在八年前出去做生意因为被他人诱使去吸毒了，本来一个好好的三口幸福之家，把家里所有的积蓄全部拿去吸毒了，几乎是跟一户籍为平和县安厚镇莲塘村棋盘组的毒枭买白粉，名字叫做赖炳洋！！第一次就是他骗我爸爸吸毒品的，刚开始几次都是免费送给我爸爸吸的，等上瘾了，就狂卖给我爸爸了，以后就一发不可收拾！！！直至我爸爸没有钱吸毒了，就割断脉搏死了！！那毒枭赖炳洋一直说，在平和县安厚镇的那些警察他都不怕，可以尽管吸白粉！！！他现在整天就在家里卖白粉，来这里买的有非常多，自己还批发给其他人卖，里面这些人有很多都是有犯罪前科，有的是网上通缉犯！！！我家只是其中的一个受害者之一，当地至少有上百人在吸毒，比我家更惨的都有，很多弄得家破人亡，妻离子散！！！！我们恳请警察叔叔能够早日把这一大毒枭罪魁祸首绳之以法，让死在九泉之下，在天之灵的我爸爸死得安心！！！！以上所说的都是事实，希望警察叔叔能够让我对未来看到希望！！我将会不胜感激,漳州市公安局,2009/10/12,我已家破人亡：您好！您举报的赖炳洋贩毒的来邮收悉，现答复如下：接举报后我们即将您的举报件转平和县公安局查处，2009年10月30日6时许，平和县公安局在小溪镇联星村福星宫对面的租房抓获赖烦洋。赖烦洋因吸毒成瘾已被强制隔离戒毒，至于赖烦洋是否涉嫌贩卖毒品，案件正在进一步侦查中。感谢您对公安工作的支持！,,,
